"","Pot","Acquisition_date","Batch_number","height_2d_mm","height_mm","proj_area_2d_mm2","area_mm2","volume_mm3","tGmRmB","n_tGmRmB","GmR","nGmR","G","nG","rgr_height","rgr_vol","rgr_area","iou","Cabinet","Cabinet_side","Treatment","Base_trt","Nitrogen","NConc","Seasol","SDilution","Sowing_date","DAS","Teatment","Height_manual","SPAD"
"1",1,20180725,10076,4.13349663197,4.3954,2.86818597894258,16.9987,2.38776,0.177328,0.159574,0.157471,0.314051,0.334162,0.40882,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",13,1,9,NA
"2",1,20180730,10265,24.2286416718,19.2376,29.6924583199408,68.7865,8.40978,0.207692,0.184668,0.161558,0.313149,0.339517,0.421444,0.29526163156443,0.251807925268298,0.279574126842253,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",18,1,32,NA
"3",1,20180801,10427,29.815611555,13.7679,38.293864787095,59.2044,6.55223,0.184719,0.179796,0.149396,0.318814,0.310536,0.41894,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",20,1,38,NA
"4",1,20180806,10598,30.7411982705,29.846,105.828760614078,497.971,117.932,0.215051,0.207377,0.154596,0.321567,0.319759,0.433252,0.154742206369095,0.578060547490283,0.425909195788991,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",25,1,39,NA
"5",1,20180808,10760,43.0531520396,45.7953,158.341084385958,864.65,266.21,0.202186,0.211073,0.14371,0.323505,0.296052,0.43523,0.214065319128863,0.407088641912158,0.275891479187304,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",27,1,50,NA
"6",1,20180813,10922,62.4953789279,63.7814,366.366393787083,1875.67,591.743,0.210608,0.223697,0.145391,0.329472,0.295231,0.441675,0.0662560292057381,0.159757389601766,0.154879281427513,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",32,1,73,21.2
"7",1,20180815,11084,65.3591160221,70.5488,465.73201876215,2846.71,1060.15,0.193462,0.222507,0.135024,0.330283,0.273629,0.441071,0.0504215285725742,0.291546633762124,0.208599006285793,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",34,1,76,47.2
"8",2,20180725,10076,3.25168401715,3.4813,2.2373531371678,12.8726,1.905,0.274067,0.187232,0.187116,0.270084,0.442574,0.422857,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",13,1,8,NA
"9",2,20180730,10265,5.08912108175,1.5485,3.83168141786819,2.71724,0.193364,0.196427,0.170978,0.164014,0.313054,0.344359,0.41442,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",18,1,9,NA
"10",2,20180801,10427,8.0208973571,0.200798,6.97210166183825,0.0891076,0.00209163,0.181911,0.167674,0.156744,0.31868,0.324622,0.412758,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",20,1,15,NA
"11",2,20180806,10598,20.9573810994,14.3811,31.4368184556408,67.4841,10.2486,0.205787,0.197084,0.158169,0.327438,0.321635,0.427832,0.854274139174591,1.69939054471129,1.32596053305994,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",25,1,28,NA
"13",2,20180808,10769,33.3682911783,33.8773,75.8762812347616,300.604,66.0436,0.188768,0.198701,0.140171,0.323997,0.289117,0.429199,NA,NA,NA,NA,1,"RHS",1,"Hoaglands Solution","","0","NoSeasol","","12/07/2018",27,1,32,NA
